SOC,SOH,Power,T,SEI_after,SEI_delta
79,1.6667,1,23,1.6667005512497000E-08,55.12497002
79,1.7778,-1,23,1.7778000000298400E-08,0.002984004
79,1.7778,-0.89474,23,1.7777999999146200E-08,-0.008537993
79,1.7778,-0.78947,23,1.7778000000241600E-08,0.002415996
79,1.7778,-0.68421,23,1.7778000000110300E-08,0.001102996
79,1.7778,-0.57895,23,1.7777999999464900E-08,-0.005350998
79,1.7778,-0.47368,23,1.7777999999681800E-08,-0.003181998
79,1.7778,-0.36842,23,1.7777999999957100E-08,-0.000428976
79,1.7778,-0.26316,23,1.7778000000436200E-08,0.004362021
79,1.7778,-0.15789,23,1.7778000000280600E-08,0.002806028
79,1.7778,-0.052632,23,1.7777999999913300E-08,-0.000866985
79,1.7778,0.052632,23,1.7778004467811000E-08,44.67811001
79,1.7778,0.15789,23,1.7778004567717600E-08,45.67717601
79,1.7778,0.26316,23,1.7778004669142500E-08,46.691425
79,1.7778,0.36842,23,1.7778004775253700E-08,47.75253702
79,1.7778,0.47368,23,1.7778004883664900E-08,48.836649
79,1.7778,0.57895,23,1.7778004994715900E-08,49.94715902
79,1.7778,0.68421,23,1.7778005111155000E-08,51.11155
79,1.7778,0.78947,23,1.7778005229916100E-08,52.299161
79,1.7778,0.89474,23,1.7778005350925400E-08,53.50925401
79,1.7778,1,23,1.7778005478078400E-08,54.780784
79,1.8889,-1,23,1.8889000000233500E-08,0.002334999
79,1.8889,-0.89474,23,1.8889000000090000E-08,0.000899973
79,1.8889,-0.78947,23,1.8889000000011000E-08,0.000109982
79,1.8889,-0.68421,23,1.8888999999778900E-08,-0.002211021
79,1.8889,-0.57895,23,1.8889000000332000E-08,0.003319972
79,1.8889,-0.47368,23,1.8888999999719500E-08,-0.002805003
79,1.8889,-0.36842,23,1.8888999999697100E-08,-0.003029003
79,1.8889,-0.26316,23,1.8889000000394600E-08,0.003945982
79,1.8889,-0.15789,23,1.8888999999804500E-08,-0.001955025
79,1.8889,-0.052632,23,1.8888999999893000E-08,-0.001070008
79,1.8889,0.052632,23,1.8889004466618100E-08,44.66618097
79,1.8889,0.15789,23,1.8889004561496200E-08,45.614962
79,1.8889,0.26316,23,1.8889004662394700E-08,46.62394698
79,1.8889,0.36842,23,1.8889004765379000E-08,47.65378999
79,1.8889,0.47368,23,1.8889004870527700E-08,48.705277
79,1.8889,0.57895,23,1.8889004979663700E-08,49.796637
79,1.8889,0.68421,23,1.8889005090683800E-08,50.90683799
79,1.8889,0.78947,23,1.8889005205759800E-08,52.05759799
79,1.8889,0.89474,23,1.8889005324495300E-08,53.244953
79,1.8889,1,23,1.8889005446046100E-08,54.46046099
79,2,-1,23,2.0000000000676700E-08,0.006766999
79,2,-0.89474,23,2.0000000000721000E-08,0.007210004
79,2,-0.78947,23,1.9999999999885700E-08,-0.001142998
79,2,-0.68421,23,2.0000000000556000E-08,0.00556001
79,2,-0.57895,23,1.9999999999669700E-08,-0.003302998
79,2,-0.47368,23,2.0000000000042000E-08,0.000420009
79,2,-0.36842,23,2.0000000000743000E-08,0.007430001
79,2,-0.26316,23,2.0000000000330500E-08,0.003304984
79,2,-0.15789,23,2.0000000000604400E-08,0.00604401
79,2,-0.052632,23,2.0000000000065600E-08,0.000655987
79,2,0.052632,23,2.0000004465316700E-08,44.65316701
79,2,0.15789,23,2.0000004559899400E-08,45.598994
79,2,0.26316,23,2.0000004656214800E-08,46.56214799
79,2,0.36842,23,2.0000004757989600E-08,47.57989599
79,2,0.47368,23,2.0000004859409300E-08,48.59409301
79,2,0.57895,23,2.0000004965778100E-08,49.657781
79,2,0.68421,23,2.0000005073652300E-08,50.73652299
79,2,0.78947,23,2.0000005184316100E-08,51.84316098
79,2,0.89474,23,2.0000005299375900E-08,52.99375899
79,2,1,23,2.0000005418369300E-08,54.18369301
78,1,-1,23,9.9999999993550600E-09,-0.006449395
78,1,-0.89474,23,1.0000000000236200E-08,0.002361998
78,1,-0.78947,23,1.0000000000165700E-08,0.001656992
78,1,-0.68421,23,1.0000000000025700E-08,0.000257005
78,1,-0.57895,23,9.9999999995684800E-09,-0.004315203
78,1,-0.47368,23,1.0000000000181700E-08,0.001817001
78,1,-0.36842,23,1.0000000000631700E-08,0.006316996
78,1,-0.26316,23,9.9999999996947900E-09,-0.003052098
78,1,-0.15789,23,9.9999999998254300E-09,-0.001745699
78,1,-0.052632,23,1.0000000000112600E-08,0.001125991
78,1,0.052632,23,1.0000004483397300E-08,44.833973
78,1,0.15789,23,1.0000004608949500E-08,46.089495
78,1,0.26316,23,1.0000004741277400E-08,47.41277399
78,1,0.36842,23,1.0000004879109600E-08,48.791096
78,1,0.47368,23,1.0000005022379500E-08,50.223795
78,1,0.57895,23,1.0000005170540200E-08,51.70540199
78,1,0.68421,23,1.0000005325649300E-08,53.25649299
78,1,0.78947,23,1.0000005488938300E-08,54.88938299
78,1,0.89474,23,1.0000005656371900E-08,56.56371901
78,1,1,23,1.0000005832754400E-08,58.327544
78,1.1111,-1,23,1.1110999999768500E-08,-0.002314997
78,1.1111,-0.89474,23,1.1111000000743400E-08,0.007434005
78,1.1111,-0.78947,23,1.1110999999916400E-08,-0.000835998
78,1.1111,-0.68421,23,1.1110999999446000E-08,-0.005539993
78,1.1111,-0.57895,23,1.1111000000172900E-08,0.001729006
78,1.1111,-0.47368,23,1.1110999999833900E-08,-0.001660995
78,1.1111,-0.36842,23,1.1111000000755300E-08,0.007553003
78,1.1111,-0.26316,23,1.1110999999324900E-08,-0.006751001
78,1.1111,-0.15789,23,1.1111000000411000E-08,0.004110012
78,1.1111,-0.052632,23,1.1110999999828200E-08,-0.001717988
78,1.1111,0.052632,23,1.1111004479096000E-08,44.79096001
78,1.1111,0.15789,23,1.1111004599066800E-08,45.99066801
78,1.1111,0.26316,23,1.1111004724917800E-08,47.249178
78,1.1111,0.36842,23,1.1111004855153600E-08,48.55153601
78,1.1111,0.47368,23,1.1111004990769800E-08,49.90769801
78,1.1111,0.57895,23,1.1111005131885200E-08,51.318852
78,1.1111,0.68421,23,1.1111005278926500E-08,52.789265
78,1.1111,0.78947,23,1.1111005429873100E-08,54.298731
78,1.1111,0.89474,23,1.1111005588507100E-08,55.88507101
