,SOC,SOH,Power,T,SEI_after,SEI_delta
6513,48,1.5556,0.36841999999999997,23,1.55560047691276e-08,47.69127599
6514,48,1.5556,0.47368000000000005,23,1.55560048768554e-08,48.768553999999995
6515,48,1.5556,0.57895,23,1.55560049868273e-08,49.86827299
6516,48,1.5556,0.68421,23,1.55560051005729e-08,51.00572899
6517,48,1.5556,0.78947,23,1.55560052183552e-08,52.18355199
6518,48,1.5556,0.89474,23,1.5556005337958498e-08,53.37958501
6519,48,1.5556,1.0,23,1.55560054604969e-08,54.60496898
6530,48,1.6667,0.052632000000000005,23,1.66670044625059e-08,44.62505901
6531,48,1.6667,0.15789,23,1.66670045606043e-08,45.60604301
6532,48,1.6667,0.26316,23,1.6667004661423902e-08,46.61423899
6533,48,1.6667,0.36841999999999997,23,1.66670047662958e-08,47.662958
6534,48,1.6667,0.47368000000000005,23,1.66670048726291e-08,48.726290999999996
6535,48,1.6667,0.57895,23,1.6667004982222398e-08,49.82222401
6536,48,1.6667,0.68421,23,1.66670050949572e-08,50.94957199
6537,48,1.6667,0.78947,23,1.66670052109696e-08,52.10969601
6538,48,1.6667,0.89474,23,1.66670053286226e-08,53.286226
6539,48,1.6667,1.0,23,1.6667005450611e-08,54.50611001
6550,48,1.7778,0.052632000000000005,23,1.77780044611725e-08,44.61172502
6551,48,1.7778,0.15789,23,1.77780045593302e-08,45.59330201
6552,48,1.7778,0.26316,23,1.77780046591204e-08,46.591204
6553,48,1.7778,0.36841999999999997,23,1.77780047623175e-08,47.62317501
6554,48,1.7778,0.47368000000000005,23,1.77780048683596e-08,48.683596
6555,48,1.7778,0.57895,23,1.77780049775267e-08,49.77526702
6556,48,1.7778,0.68421,23,1.77780050884316e-08,50.88431601
6557,48,1.7778,0.78947,23,1.77780052034087e-08,52.034087
6558,48,1.7778,0.89474,23,1.77780053199201e-08,53.19920101
6559,48,1.7778,1.0,23,1.77780054418589e-08,54.41858901
6570,48,1.8889,0.052632000000000005,23,1.88890044595261e-08,44.59526099
6571,48,1.8889,0.15789,23,1.88890045566757e-08,45.56675699
6572,48,1.8889,0.26316,23,1.8889004656170698e-08,46.561707
6573,48,1.8889,0.36841999999999997,23,1.88890047602305e-08,47.60230498
6574,48,1.8889,0.47368000000000005,23,1.88890048641247e-08,48.641247
6575,48,1.8889,0.57895,23,1.8889004971939998e-08,49.7194
6576,48,1.8889,0.68421,23,1.88890050823144e-08,50.82314399
6577,48,1.8889,0.78947,23,1.8889005195765702e-08,51.95765697
6578,48,1.8889,0.89474,23,1.88890053118145e-08,53.11814498
6579,48,1.8889,1.0,23,1.88890054310505e-08,54.31050499
6590,48,2.0,0.052632000000000005,23,2.00000044580426e-08,44.580426
6591,48,2.0,0.15789,23,2.0000004554826302e-08,45.54826298
6592,48,2.0,0.26316,23,2.0000004654577802e-08,46.54577798
6593,48,2.0,0.36841999999999997,23,2.0000004754822e-08,47.54822
6594,48,2.0,0.47368000000000005,23,2.00000048597155e-08,48.597155
6595,48,2.0,0.57895,23,2.00000049660225e-08,49.66022499
6596,48,2.0,0.68421,23,2.0000005075379198e-08,50.75379201
6597,48,2.0,0.78947,23,2.00000051883299e-08,51.88329899
6598,48,2.0,0.89474,23,2.00000053027629e-08,53.02762899
6599,48,2.0,1.0,23,2.0000005420926897e-08,54.20926899999999
6610,47,1.0,0.052632000000000005,23,1.00000044674528e-08,44.674528
6611,47,1.0,0.15789,23,1.00000045699329e-08,45.69932899
6612,47,1.0,0.26316,23,1.0000004675101e-08,46.75101
6613,47,1.0,0.36841999999999997,23,1.00000047842482e-08,47.842482000000004
6614,47,1.0,0.47368000000000005,23,1.0000004896262699e-08,48.962627000000005
6615,47,1.0,0.57895,23,1.00000050114718e-08,50.11471801
6616,47,1.0,0.68421,23,1.00000051301911e-08,51.301911
6617,47,1.0,0.78947,23,1.00000052525159e-08,52.525158999999995
6618,47,1.0,0.89474,23,1.00000053787918e-08,53.78791801
6619,47,1.0,1.0,23,1.00000055092453e-08,55.092453000000006
6630,47,1.1111,0.052632000000000005,23,1.11110044667852e-08,44.66785201
6631,47,1.1111,0.15789,23,1.11110045685291e-08,45.68529101
6632,47,1.1111,0.26316,23,1.11110046729448e-08,46.72944801
6633,47,1.1111,0.36841999999999997,23,1.11110047807378e-08,47.80737801
6634,47,1.1111,0.47368000000000005,23,1.11110048922948e-08,48.92294801
6635,47,1.1111,0.57895,23,1.11110050064822e-08,50.06482201
